x, true, terminal, branch
-8.423273018006673851e+01,8.999999973723985525e-01,8.961683355464961087e-01,8.997406959533691406e-01
-8.248055381279266385e+01,8.987005142429765892e-01,8.947307126648498254e-01,8.982521295547485352e-01
-8.072837744551858918e+01,8.973550848553440984e-01,8.932391706327309500e-01,8.969146609306335449e-01
-7.897620107824451452e+01,8.959611100516351456e-01,8.916904820796764941e-01,8.958889245986938477e-01
-7.722402471097043986e+01,8.945157856171592758e-01,8.900811378501685134e-01,8.942923545837402344e-01
-7.547184834369636519e+01,8.930160842040413272e-01,8.884073604482758402e-01,8.927610516548156738e-01
-7.371967197642229053e+01,8.914587384735931375e-01,8.866650229385625304e-01,8.914424777030944824e-01
-7.196749560914821586e+01,8.898402073839936088e-01,8.848496669894924116e-01,8.896703720092773438e-01
-7.021531924187414120e+01,8.881566558454164761e-01,8.829564226270224525e-01,8.882862329483032227e-01
-6.846314287460006653e+01,8.864039131203520494e-01,8.809799812628832383e-01,8.866459131240844727e-01
-6.671096650732599187e+01,8.845774782250112045e-01,8.789145393164985443e-01,8.846319913864135742e-01
-6.495879014005191721e+01,8.826723912900270586e-01,8.767537711641543163e-01,8.828271627426147461e-01
-6.320661377277784254e+01,8.806832951960407163e-01,8.744906945799223452e-01,8.808102607727050781e-01
-6.145443740550376788e+01,8.786043115263426628e-01,8.721176877654192028e-01,8.787891268730163574e-01
-5.970226103822969321e+01,8.764290120338371626e-01,8.696263207381653704e-01,8.766325116157531738e-01
-5.795008467095561855e+01,8.741503325665103130e-01,8.670073174389933968e-01,8.743774294853210449e-01
-5.619790830368154388e+01,8.717605425721829393e-01,8.642504439737662691e-01,8.716681599617004395e-01
-5.444573193640746922e+01,8.692510925564530533e-01,8.613443078064927372e-01,8.692753911018371582e-01
-5.269355556913339456e+01,8.666125676227642849e-01,8.582763267929178763e-01,8.664600253105163574e-01
-5.094137920185931279e+01,8.638345829822423605e-01,8.550324743382463621e-01,8.635681271553039551e-01
-4.918920283458523812e+01,8.609055710950832552e-01,8.515971167106006767e-01,8.606653213500976562e-01
-4.743702646731116346e+01,8.578127504380974599e-01,8.479527752185165301e-01,8.575414419174194336e-01
-4.568485010003708879e+01,8.545418853160906547e-01,8.440798943053355874e-01,8.538279533386230469e-01
-4.393267373276301413e+01,8.510770655770990567e-01,8.399565309175868189e-01,8.504479527473449707e-01
-4.218049736548893947e+01,8.474005378972575553e-01,8.355579865534458195e-01,8.468199968338012695e-01
-4.042832099821486480e+01,8.434924220075677992e-01,8.308564363478265768e-01,8.428667187690734863e-01
-3.867614463094079014e+01,8.393303806988805515e-01,8.258204613911298564e-01,8.389352560043334961e-01
-3.692396826366671547e+01,8.348892931816981333e-01,8.204145205600658075e-01,8.346933126449584961e-01
-3.517179189639264081e+01,8.301408430095150726e-01,8.145983694826853805e-01,8.306566476821899414e-01
-3.341961552911856614e+01,8.250530263372068962e-01,8.083263399366389379e-01,8.263317942619323730e-01
-3.166743916184449148e+01,8.195896590653894975e-01,8.015466762390799360e-01,8.218334317207336426e-01
-2.991526279457041682e+01,8.137097575098278801e-01,7.942006512443614552e-01,8.172872662544250488e-01
-2.816308642729634215e+01,8.073667991540963706e-01,7.862217472119565898e-01,8.120748400688171387e-01
-2.641091006002226749e+01,8.005080604761616314e-01,7.775348473830718810e-01,8.067057728767395020e-01
-2.465873369274819282e+01,7.930737309564735993e-01,7.680554717960996758e-01,8.007561564445495605e-01
-2.290655732547411816e+01,7.849960821259088783e-01,7.576893063953048513e-01,7.937098741531372070e-01
-2.115438095820004349e+01,7.761986701652081599e-01,7.463321751674498739e-01,7.853916287422180176e-01
-1.940220459092596172e+01,7.665955943576956422e-01,7.338708224417986870e-01,7.754932641983032227e-01
-1.765002822365188706e+01,7.560910818845194559e-01,7.201850183839869635e-01,7.641557455062866211e-01
-1.589785185637781240e+01,7.445795571798355938e-01,7.051515496363358615e-01,7.512159347534179688e-01
-1.414567548910373773e+01,7.319465822223818474e-01,6.886510091268872591e-01,7.368811368942260742e-01
-1.239349912182966307e+01,7.180711728688216056e-01,6.705781029857733611e-01,7.215594053268432617e-01
-1.064132275455558840e+01,7.028301811683531630e-01,6.508562357519945829e-01,7.053002119064331055e-01
-8.889146387281513739e+00,6.861054996943790618e-01,6.294562060556003757e-01,6.882329583168029785e-01
