runtime,l1_error,l2_error,rel_error
6.887081837654113770e+02,2.587693909665419483e+02,7.877860187617191696e+04,3.096103255823511091e+01
6.999954586029052734e+02,2.568774201413466471e+02,7.773111541513571865e+04,3.076524102219513068e+01
7.180471792221069336e+02,2.556587601682020932e+02,7.701053469855873846e+04,3.052182782622463009e+01
7.016395461559295654e+02,2.568688080807997380e+02,7.774916632684358046e+04,3.071348612608884565e+01
6.739108710289001465e+02,2.566311689206435176e+02,7.762108013571923948e+04,3.068400665545266293e+01
7.034099657535552979e+02,2.574679834958388369e+02,7.803536308857903350e+04,3.083760962003703909e+01
6.763385915756225586e+02,2.569301551266981960e+02,7.774338776819166378e+04,3.073855021958731726e+01
6.751815373897552490e+02,2.540638935400882872e+02,7.618139010292130115e+04,3.031999549250699744e+01
6.742246682643890381e+02,2.560555631467177022e+02,7.722628993964321853e+04,3.057535520952290042e+01
6.799102745056152344e+02,2.558961347409560005e+02,7.717738222384083201e+04,3.056599726517507420e+01
