runtime,l1_error,l2_error,rel_error
9.137540769577026367e+01,1.892686530595734037e-02,1.547447595017422024e-03,3.328709773504045177e+00
8.801736283302307129e+01,1.921733151258503761e-02,1.368287393221995045e-03,2.869887406427734433e+00
8.770752239227294922e+01,1.913593098191020830e-02,1.384952115885427831e-03,2.775608672092057638e+00
8.816028594970703125e+01,1.999486714871458529e-02,1.390093518955980200e-03,2.768219546284308663e+00
9.137062239646911621e+01,1.853247108958809564e-02,1.157170409180377198e-03,2.423118911127638775e+00
8.771375560760498047e+01,1.710226952075249648e-02,9.390386154453606938e-04,1.944127513123010464e+00
9.107296180725097656e+01,1.942235170462604243e-02,1.259804527156209745e-03,2.454004323142676913e+00
9.023551726341247559e+01,1.896292363700275221e-02,1.429602126954520550e-03,2.999001210729939526e+00
9.073026227951049805e+01,1.942380468672775390e-02,1.508918212107172039e-03,3.114906757891338973e+00
8.862244009971618652e+01,1.889841966068485021e-02,1.416274469227046025e-03,2.857716397441683931e+00
