runtime,l1_error,l2_error,rel_error
1.561269042491912842e+02,5.936954954078903918e-03,3.775801834903667268e-05,2.433761644055301016e-02
1.614022188186645508e+02,3.296019795690869388e-03,2.384530789254946142e-05,2.304418380869253935e-02
1.557309589385986328e+02,4.338674540262045867e-03,2.671188892458138315e-05,9.364190209001954299e-03
1.495030622482299805e+02,3.645519527800548769e-03,1.726525032260556810e-05,1.625421436767979927e-02
1.645390787124633789e+02,3.583800737216527674e-03,1.980602376205623302e-05,9.942115339202086191e-03
1.606489026546478271e+02,3.525611324703806053e-03,2.266786383622569357e-05,8.843150875580839745e-03
1.570320789813995361e+02,4.850953083259959553e-03,3.638484753588685909e-05,1.828333402286687684e-02
1.612883822917938232e+02,1.116907065861555588e-02,2.039707382102467429e-04,4.912765453438652091e-02
1.629990353584289551e+02,1.776710112024567061e-03,5.395400934605951534e-06,4.800124045212673246e-03
1.619754374027252197e+02,2.408343773409822239e-02,9.532073362190441115e-04,5.901932102960676801e-02
